source,target,value
Independent_politician,Bernie_Sanders,94
Democratic_socialism,Bernie_Sanders,91
other-other,Bernie_Sanders,893
Democratic_Party_presidential_candidates,Bernie_Sanders,811
List_of_Jewish_American_politicians,Bernie_Sanders,79
Socialism,Bernie_Sanders,78
Nationwide_opinion_polling_for_the_Democratic_Party_2016_presidential_primaries,Bernie_Sanders,73
Edward_Snowden,Bernie_Sanders,63
Jim_Jeffords,Bernie_Sanders,62
United_States_third_party_and_independent_presidential_candidates,Bernie_Sanders,57
Third_party_officeholders_in_the_United_States,Bernie_Sanders,55
Filibuster_in_the_United_States_Senate,Bernie_Sanders,51
other-facebook,Bernie_Sanders,51
