source,target,value
Kay_Bailey_Hutchison,Ted_Cruz,98
Bob_Menendez,Ted_Cruz,88
Republican_Party_presidential_candidates,Ted_Cruz,782
other-facebook,Ted_Cruz,77
114th_United_States_Congress,Ted_Cruz,76
Harvard_Law_Review,Ted_Cruz,73
other-twitter,Ted_Cruz,73
List_of_United_States_Senators_from_Texas,Ted_Cruz,73
List_of_current_United_States_Senators_by_age,Ted_Cruz,71
Ben_Carson,Ted_Cruz,70
List_of_politicians_affiliated_with_the_Tea_Party_movement,Ted_Cruz,65
Chris_Christie,Ted_Cruz,63
Natural-born-citizen_clause,Ted_Cruz,62
Jeb_Bush,Ted_Cruz,57
