source,target,value
Craig_Robinson_(basketball),Barack_Obama,99
List_of_Presidents_of_the_United_States,Barack_Obama,98
First_Lady_of_the_United_States,Barack_Obama,96
Presidency_of_George_W._Bush,Barack_Obama,96
Multiracial_American,Barack_Obama,95
List_of_Presidents_of_the_United_States_by_date_of_birth,Barack_Obama,94
United_States_presidential_election,Barack_Obama,938
Stanley_Armour_Dunham,Barack_Obama,93
Presidential_portrait_(United_States),Barack_Obama,93
Janet_Yellen,Barack_Obama,92
German_American,Barack_Obama,92
Hussein,Barack_Obama,92
Susan_Rice,Barack_Obama,92
Adolf_Hitler,Barack_Obama,91
Illinois,Barack_Obama,89
Malala_Yousafzai,Barack_Obama,89
President,Barack_Obama,88
Roland_Burris,Barack_Obama,88
Robin_Williams,Barack_Obama,88
Stephen_Harper,Barack_Obama,88
Vicetone,Barack_Obama,87
Scott_Walker_(politician),Barack_Obama,87
Caroline_Kennedy,Barack_Obama,86
Lil_Wayne,Barack_Obama,85
Katy_Perry,Barack_Obama,85
Jay_Z,Barack_Obama,84
Jack_Lew,Barack_Obama,84
List_of_United_States_Cabinets,Barack_Obama,83
Frank_Marshall_Davis,Barack_Obama,82
Rudy_Giuliani,Barack_Obama,81
Betty_White,Barack_Obama,81
Malcolm_X,Barack_Obama,81
List_of_Presidents_of_the_United_States_by_time_in_office,Barack_Obama,81
Harvard_University,Barack_Obama,807
Elena_Kagan,Barack_Obama,80
Oval_Office,Barack_Obama,79
Catherine,Barack_Obama,79
Punahou_School,Barack_Obama,78
List_of_Presidents_of_the_United_States_by_military_service,Barack_Obama,78
Federal_government_of_the_United_States,Barack_Obama,77
Cabinet_of_the_United_States,Barack_Obama,77
Barack_Obama_presidential_campaign,Barack_Obama,77
Bill_Gates,Barack_Obama,77
Theodore_Roosevelt,Barack_Obama,77
Air_Force_One,Barack_Obama,77
Spider-Man_(Miles_Morales),Barack_Obama,77
African_American,Barack_Obama,766
Time_Person_of_the_Year,Barack_Obama,76
Historical_rankings_of_Presidents_of_the_United_States,Barack_Obama,755
George_Clooney,Barack_Obama,75
