source,target,value
The_Apprentice_(U.S._season_14),Donald_Trump,97
United_States_presidential_election,Donald_Trump,918
Bill_Rancic,Donald_Trump,88
Roast_(comedy),Donald_Trump,86
Geraldo_Rivera,Donald_Trump,80
Steve_Rubell,Donald_Trump,76
Jamaica,Donald_Trump,74
Eric_Trump,Donald_Trump,728
List_of_people_in_Playboy_200009,Donald_Trump,69
other-empty,Donald_Trump,6855
ACN_Inc.,Donald_Trump,68
Marla_Maples,Donald_Trump,652
The_Trump_Organization,Donald_Trump,651
Home_Alone_2:_Lost_in_New_York,Donald_Trump,64
other-google,Donald_Trump,61062
Bill_Gates,Donald_Trump,60
The_Celebrity_Apprentice,Donald_Trump,599
The_Apprentice_(U.S._TV_series),Donald_Trump,597
German_American,Donald_Trump,596
List_of_most_expensive_divorces,Donald_Trump,59
Barack_Obama_citizenship_conspiracy_theories,Donald_Trump,59
Peter_M._Brant,Donald_Trump,59
Comedy_Central_Roast,Donald_Trump,585
Maryanne_Trump_Barry,Donald_Trump,58
Miss_USA,Donald_Trump,57
40_Wall_Street,Donald_Trump,56
David_Blaine,Donald_Trump,55
Republican_Party_presidential_candidates,Donald_Trump,549
Alan_Sugar,Donald_Trump,543
Zoolander,Donald_Trump,54
Omarosa,Donald_Trump,51
Trump_Shuttle,Donald_Trump,50
Fred_Trump,Donald_Trump,489
Leeza_Gibbons,Donald_Trump,47
Ivanka_Trump,Donald_Trump,4658
Warren_Buffett,Donald_Trump,46
The_Apprentice_(UK_TV_series),Donald_Trump,45
Rosie_O'Donnell,Donald_Trump,44
Bedford_(town),Donald_Trump,44
Trump_Ocean_Club_International_Hotel_and_Tower,Donald_Trump,43
Charles_Kushner,Donald_Trump,43
Umaga_(wrestler),Donald_Trump,43
Vince_McMahon,Donald_Trump,426
Boca_Raton,Donald_Trump,42
Jared_Kushner,Donald_Trump,413
Trump_Tower_(New_York_City),Donald_Trump,412
John_G._Trump,Donald_Trump,41
Ace_Steel,Donald_Trump,41
WrestleMania,Donald_Trump,41
Trump,Donald_Trump,402
